"","x"
"1",1788.89159977494
"2",1379.95614100181
"3",1568.53521658118
"4",1717.59585881639
"5",2012.73697046025
"6",2120.24259077157
"7",1364.79584456804
"8",867.151725438151
"9",801.058771459359
"10",1347.98815246584
"11",947.944956018655
"12",1279.41332999464
"13",1444.36646227167
"14",1851.15340376484
"15",1526.42236097247
"16",1662.3928362387
"17",241.598543741252
"18",959.224900443252
"19",1387.11611563493
"20",1529.61026737367
"21",1461.36407398296
"22",1293.12811736171
"23",864.936463141792
"24",1221.17044666378
"25",1280.92182381768
"26",61.5252182108579
"27",1842.90072855333
"28",1218.26328811484
"29",1820.28254261374
"30",1626.55068200211
"31",864.599593507691
"32",1054.81073561627
"33",1009.69255691088
"34",1608.92522245408
"35",1416.35666145504
"36",1049.36177266521
"37",1934.51919649541
"38",2117.88543074951
"39",1343.78025104474
"40",825.381233039751
"41",1525.21058383642
"42",2034.21503757755
"43",1881.08984349039
"44",1912.26310812401
"45",2878.23724754551
"46",1975.62861470725
"47",2301.78855538227
"48",2951.18534646284
"49",3366.79405060734
"50",2755.02533402503
"51",1891.72909517675
"52",517.446444981843
"53",1511.85850464206
"54",2188.32907426837
"55",1373.83993934099
"56",1546.9514959362
"57",2240.16437407913
"58",2162.89123827153
"59",1477.02836702866
"60",1903.03014359673
"61",2185.80579918498
"62",1876.03176498229
"63",1428.0670375245
"64",1710.39201286984
"65",884.574384520633
"66",1487.17922996864
"67",2386.56655249616
"68",1265.09167561379
"69",1252.95553943406
"70",1601.01533851976
"71",2302.68577074327
"72",2131.47091992789
"73",2373.29493850676
"74",1517.71325011741
"75",1666.12537458762
"76",2756.39448939963
"77",3497.59366553706
"78",2900.26509612214
"79",2070.32372408654
"80",2221.11035212853
"81",3221.12667878343
"82",1953.59310674784
"83",1709.26947687557
"84",2617.98071147661
"85",2723.48106001287
"86",1609.90722593458
"87",2588.82204450292
"88",2805.70133452955
"89",2053.34100092492
"90",967.475855602314
"91",1897.98997416647
"92",2103.68278757367
"93",2847.40236995063
"94",4093.55106387399
"95",2511.36586917202
"96",3047.13386472208
"97",3472.00665315465
"98",2012.02683647957
"99",2180.18317584851
"100",2201.10014078874
"101",2972.65938773484
"102",2655.65043250722
"103",2235.01236029827
"104",3817.04972405729
"105",2714.52414343294
"106",1510.78752566452
"107",2956.66873319169
"108",3717.51696102886
"109",3033.44238738011
"110",4015.97633279099
"111",3380.01547231606
"112",2141.33782468617
"113",2540.07362596809
"114",2941.09360082602
"115",3918.95964813126
"116",3816.58234095004
"117",3145.00132339282
"118",3312.25113885964
"119",3870.36328551055
"120",3585.74192057068
"121",2486.42846157242
"122",3025.49296693942
"123",3084.90348325196
"124",2094.04377952098
"125",3377.16280760193
"126",3567.26644550776
"127",3938.66258359601
"128",3699.81812316133
"129",3705.45301224297
"130",4020.28157585662
"131",3983.38856791447
"132",3727.43323121705
"133",2979.31386148152
"134",3017.51641329031
"135",2842.46990605615
"136",3860.71717808483
"137",2818.95352291241
"138",2979.73536548146
"139",3216.82848796935
"140",3989.90239346935
"141",4379.44954536214
"142",3795.50655737083
"143",3250.15389600697
"144",3599.22071035538
"145",4452.04508873895
"146",4672.98985101239
"147",4524.54250074484
"148",4284.6817989047
"149",3893.28805181527
"150",4115.61458642582
"151",5142.75718593859
"152",4231.80817475526
"153",4813.25202514568
"154",4434.08240514581
"155",4673.30322306715
"156",3498.63809208175
"157",4545.24686932531
"158",4603.96663519015
"159",5126.99324651082
"160",4777.48189631113
"161",5160.88354061021
"162",4864.50653886409
"163",4178.50251688568
"164",3974.96247857995
"165",3958.04094761976
"166",4426.38112143001
"167",3583.8152759906
"168",4474.44801587285
"169",4788.61147288433
"170",3838.5790292942
"171",3484.54574571869
"172",4249.09115254369
"173",5255.65631918747
"174",4530.48933355272
"175",5354.11253882628
"176",5267.30297619804
"177",5039.47954927279
"178",4458.53218281313
"179",5386.86262593749
"180",5219.20298523417
"181",5373.52126367584
"182",5776.66877270054
"183",5724.068059905
"184",4084.67297974916
"185",4086.78232198719
"186",5448.70988253352
"187",5166.42714687716
"188",5458.46174570563
"189",4437.9330166659
"190",5403.75731097897
"191",5067.40192218648
"192",5035.04256970854
"193",5544.84045546428
"194",5425.74073591932
"195",5074.10854921193
"196",5077.42930844737
"197",5086.27419912962
"198",4743.22636986988
"199",5100.84751233718
"200",5533.85014196637
"201",5542.24177928759
"202",4994.6933369862
"203",6171.09386010181
"204",6204.51742153788
"205",5558.42563871306
"206",5284.7841844623
"207",5446.31976273183
"208",5709.83650636363
"209",5630.45502208606
"210",6056.26174132527
"211",5913.33122857418
"212",5513.61069183769
"213",5437.04550002184
"214",5503.5815254449
"215",4701.794575166
"216",4405.17051076874
"217",5240.79669310492
"218",4377.07179254955
"219",4783.51621912481
"220",5274.08975791932
"221",5515.60997727974
"222",5564.92063693211
"223",5464.22030794304
"224",5588.68302864435
"225",4283.62278134248
"226",3718.15503275241
"227",4597.96168669972
"228",4913.25382927803
"229",5327.7127375361
"230",5035.13201879388
"231",4519.09338001233
"232",5269.40957684266
"233",4485.89041055571
"234",4807.57099047773
"235",4944.56971379338
"236",4769.66526582439
"237",4223.25143487959
"238",5301.61890413461
"239",3729.70406470713
"240",4537.12485150479
"241",4724.63312395519
"242",4896.47610257643
"243",5107.24304437538
"244",4941.68317487695
"245",4257.88860991706
"246",4842.02861155741
"247",4569.87524649509
"248",3256.76674884667
"249",2252.07476061155
"250",3202.83873508946
"251",3192.7339919049
"252",4159.93486310227
"253",4835.26742638967
"254",4532.81285563117
"255",4762.02290207469
"256",4712.54380302571
"257",4849.25158061087
"258",3544.52625262956
"259",3430.51576120644
"260",3300.95447242401
"261",3638.46390875108
"262",3508.60423453379
"263",3490.66014050902
"264",3806.79147125727
"265",3966.96849261167
"266",4508.17905476934
"267",4549.20559845263
"268",4375.76675261546
"269",4492.23849359617
"270",4438.99335781456
"271",4459.25995877114
"272",5128.0975719664
"273",4891.69420809481
"274",3072.05296353758
"275",2527.32243320548
"276",3231.66014445907
"277",4174.90915795457
"278",4655.59460508508
"279",4624.30808329721
"280",4991.13009096319
"281",4917.87286688106
"282",4544.30445216032
"283",4289.37217708226
"284",4051.89573131343
"285",3035.15890808126
"286",4218.1067633531
"287",4064.82085584941
"288",4535.38649086694
"289",4097.43734960134
"290",4572.69147426779
"291",4062.46889787425
"292",3049.72846733495
"293",4387.33806778606
"294",4179.5163753546
"295",4358.87706875691
"296",3823.16802305851
"297",4151.43654051255
"298",4293.3328065955
"299",3765.121320253
"300",3545.51339141033
"301",3039.02628625932
"302",1382.02522271646
"303",3218.96008715152
"304",3610.27983737505
"305",3901.91170726383
"306",3944.21663652943
"307",4053.64572356314
"308",3235.7979127701
"309",3695.25960890491
"310",3428.1979272015
"311",3922.01381637052
"312",4066.38987178306
"313",4070.35924960512
"314",3059.95986082292
"315",2856.0206158615
"316",3760.80812314193
"317",3718.77772051035
"318",4182.08350451082
"319",3803.28905299774
"320",2795.68445478189
"321",2812.64620017889
"322",3638.10318070042
"323",3638.27805088505
"324",3237.70390123509
"325",2630.89056607693
"326",2532.70319432931
"327",3003.6606453491
"328",3303.37066578325
"329",4099.10409792564
"330",4084.47581086245
"331",3752.81756484949
"332",4292.47651264482
"333",3145.50399928275
"334",3312.54351450696
"335",3489.57073406364
"336",3757.40981601351
"337",3648.72859616093
"338",3276.82977243576
"339",3147.71622671869
"340",2464.95106595297
"341",2156.07310699799
"342",3142.95804727959
"343",3610.57379313325
"344",3291.00567276868
"345",3034.13250941285
"346",3141.91967188259
"347",3329.7702762379
"348",3093.39510279405
"349",3226.61183351547
"350",3199.0844273293
"351",2519.71209295585
"352",2775.19587975771
"353",3105.45454401688
"354",3447.95132959147
"355",1514.86762169471
"356",2084.51429138581
"357",2012.64541011951
"358",1938.80842013238
"359",1340.09939937407
"360",1094.54496355661
"361",1087.92931751085
"362",1626.99040528318
"363",1788.83886610907
"364",2085.66814676709
"365",2350.40441669927
"366",4196.13291967321
"367",3209.56929153102
"368",3135.84515803095
"369",2846.4395323749
"370",4367.57461916161
"371",4678.44749968837
"372",4923.36022622782
"373",4256.31906251977
"374",3241.87669259354
"375",4192.26378859865
"376",3410.5177507719
"377",3962.52665661832
"378",3885.10652841336
"379",3859.18159455785
"380",3268.34378845195
"381",2878.68318914806
"382",3452.95998272352
"383",4437.46719905605
"384",3778.94636474738
"385",3472.08068263358
"386",2756.84474071746
"387",2389.56116953343
"388",2973.06958089996
"389",4335.24320928509
"390",4251.72484770551
"391",4048.05234962387
"392",3914.74733474302
"393",4420.64971457463
"394",4005.25180008069
"395",4096.13953045396
"396",4661.80394438472
"397",5188.33337603311
"398",4124.60272449631
"399",4520.51607718833
"400",3488.50650541091
"401",3053.37215925741
"402",4057.81416966909
"403",4638.13956790779
"404",3398.8940481374
"405",4128.86599439955
"406",3882.65730891688
"407",2309.67419040676
"408",3139.75117420309
"409",3923.40670086342
"410",3852.1259771136
"411",4555.88326822003
"412",3851.45839956667
"413",4501.24010566083
"414",4599.2485700282
"415",3109.52947620105
"416",3327.14690436973
"417",4052.27762130489
"418",4636.01378937972
"419",5126.34516205617
"420",4046.64716493244
"421",4459.15810178091
"422",3935.61960458417
"423",4344.99836033288
"424",4651.39463252767
"425",3660.85612634994
"426",5102.20922188818
"427",4034.23067025835
"428",4290.30647765451
"429",3827.74532395132
"430",3746.2219330051
"431",4009.50495075227
"432",4421.2876932997
"433",5466.19702329362
"434",4480.81396364378
"435",4351.42294677588
"436",4215.68265870483
"437",4974.97073136573
"438",5352.57757718417
"439",5868.398008742
"440",5699.58422282321
"441",4355.60324497326
"442",4798.79630513825
"443",4086.01261736171
"444",5253.75562422965
"445",5424.74956713966
"446",5319.76763944227
"447",6031.90742112811
"448",5878.78666405123
"449",4928.86488434856
"450",4124.62912050022
"451",5452.2155175266
"452",5069.06691392744
"453",5523.50822827037
"454",5615.86285781307
"455",4735.60779179666
"456",4527.06152736015
"457",4348.56382645673
"458",5015.85982419664
"459",5881.45354565841
"460",6066.52902399001
"461",5580.39103636184
"462",5281.49796415615
"463",5588.56216765831
"464",5592.7754353171
"465",5376.42713326618
"466",5372.67490009373
"467",4783.7173905464
"468",5119.44993668952
"469",5809.62542495346
"470",5844.71688457674
"471",5933.01946597847
"472",5574.81417992616
"473",6197.16382959217
"474",4985.29650965421
"475",6048.32906896763
"476",5974.29882696321
"477",5826.60513890025
"478",3007.80923593812
"479",3584.99561089849
"480",5180.39815295011
"481",5923.39586767118
"482",5025.29766238607
"483",5422.98114430557
"484",4786.26580540685
"485",5349.45022444361
"486",4845.46693876737
"487",5596.62636382253
"488",5922.26326638715
"489",5400.16708292233
"490",6385.84180919974
"491",5695.83126206242
"492",5010.37119434269
"493",4947.85874902206
"494",5062.21397818784
"495",5231.94234114306
"496",5498.99921047166
"497",6089.94022661223
"498",6353.74064457111
"499",5855.8843901534
"500",5052.84941679694
"501",5474.40513196666
"502",6436.05951717156
"503",6193.22628127769
"504",6333.13699920647
"505",6660.16187266211
"506",5873.12161421367
"507",5110.62410127385
"508",5592.24163699505
"509",5724.91597792752
"510",6455.83852377683
"511",6701.79719228772
"512",6581.81535114055
"513",6161.96976468339
"514",5889.03378947163
"515",6403.3271632705
"516",5931.79506088517
"517",6754.34483524446
"518",5674.86832741442
"519",6189.58567224019
"520",5948.48458938694
"521",5871.37775057685
"522",5095.86706991933
"523",6166.63243142198
"524",6331.78726664944
"525",6696.04052686075
"526",7067.5577628337
"527",6671.99728414133
"528",5993.46571750706
"529",5447.92719883896
"530",6069.93057465334
"531",6330.53148451924
"532",6519.45951122175
"533",6534.42928237965
"534",5887.42843407895
"535",5092.61295889785
"536",6543.38028195141
"537",7281.36270707095
"538",8003.36213310602
"539",7760.14389896815
"540",7513.05058621083
