"","x"
"7",1727.34523809524
"10",1727.34523809524
"14",1727.34523809524
"15",1727.34523809524
"21",1727.34523809524
"24",1727.34523809524
"26",1727.34523809524
"30",1727.34523809524
"32",1727.34523809524
"48",3469.41176470588
"52",1727.34523809524
"57",1727.34523809524
"58",1727.34523809524
"67",1727.34523809524
"97",3469.41176470588
"106",3469.41176470588
"116",4450.88811188811
"120",3469.41176470588
"122",4450.88811188811
"124",1727.34523809524
"125",3469.41176470588
"127",4450.88811188811
"128",4450.88811188811
"131",4450.88811188811
"135",4450.88811188811
"136",4450.88811188811
"152",4450.88811188811
"157",4450.88811188811
"160",4450.88811188811
"168",4450.88811188811
"169",4450.88811188811
"174",4450.88811188811
"182",4450.88811188811
"186",4450.88811188811
"193",4450.88811188811
"212",4450.88811188811
"217",4450.88811188811
"224",4450.88811188811
"226",4450.88811188811
"242",4450.88811188811
"244",4450.88811188811
"257",4450.88811188811
"260",3469.41176470588
"264",4450.88811188811
"266",4450.88811188811
"270",4450.88811188811
"283",4450.88811188811
"285",4450.88811188811
"291",4450.88811188811
"292",4450.88811188811
"297",3469.41176470588
"302",3404.35135135135
"311",3404.35135135135
"314",3404.35135135135
"315",3404.35135135135
"318",4450.88811188811
"319",4450.88811188811
"322",3404.35135135135
"328",3404.35135135135
"343",3404.35135135135
"351",3404.35135135135
"356",3469.41176470588
"358",1727.34523809524
"359",1727.34523809524
"360",1727.34523809524
"361",1727.34523809524
"362",1727.34523809524
"366",3719.68965517241
"372",3719.68965517241
"377",3719.68965517241
"386",2665.05555555556
"392",6133.51724137931
"393",3719.68965517241
"396",3719.68965517241
"403",3719.68965517241
"410",3719.68965517241
"421",3719.68965517241
"424",3719.68965517241
"431",2665.05555555556
"434",3719.68965517241
"435",3719.68965517241
"438",6133.51724137931
"442",6133.51724137931
"444",6133.51724137931
"460",6133.51724137931
"463",6133.51724137931
"474",6133.51724137931
"479",4903.19512195122
"483",6133.51724137931
"484",4903.19512195122
"485",6133.51724137931
"491",6133.51724137931
"496",6133.51724137931
"498",6133.51724137931
"503",6133.51724137931
"506",6133.51724137931
"510",6133.51724137931
"514",6133.51724137931
"518",7023.10619469027
"519",7023.10619469027
"523",7023.10619469027
"528",7023.10619469027
"538",7023.10619469027
"545",7023.10619469027
"548",7023.10619469027
"550",7023.10619469027
"553",7023.10619469027
"555",7023.10619469027
"560",7023.10619469027
"583",7023.10619469027
"590",7023.10619469027
"594",7023.10619469027
"598",7023.10619469027
"605",7023.10619469027
"610",7023.10619469027
"612",7023.10619469027
"614",7023.10619469027
"616",7023.10619469027
"619",7023.10619469027
"627",4313.3
"628",7023.10619469027
"629",7023.10619469027
"630",7023.10619469027
"632",7023.10619469027
"634",7023.10619469027
"635",7023.10619469027
"646",4903.19512195122
"649",7023.10619469027
"650",7023.10619469027
"652",4903.19512195122
"654",7023.10619469027
"661",7023.10619469027
"672",4903.19512195122
"673",4903.19512195122
"689",4903.19512195122
"690",4903.19512195122
"691",4903.19512195122
"696",4903.19512195122
"701",4903.19512195122
"703",7023.10619469027
"704",7023.10619469027
"711",4903.19512195122
"712",4903.19512195122
"713",4903.19512195122
"724",2665.05555555556
"726",2665.05555555556
